ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
20768;;45.1151094;12.1881420;;;Paper di Botti Alberto & C. - Società in Nome Collettivo;Gasolio;1.899;SelfService;03/06/2022 12:17:01;07
20967;Erg;45.5203510;12.1502890;;;Vian Loris;Gasolio;2.339;SelfService;08/06/2022 21:03:06;09
20967;Erg;45.5203510;12.1502890;;;Vian Loris;Gasolio;2.379;Servito;08/06/2022 21:03:06;09
21007;Agip;46.0145705;13.3879856;;;Autofficina di Chiappo Fausto;Gasolio;1.944;SelfService;09/06/2022 11:30:26;08
21007;Agip;46.0145705;13.3879856;;;Autofficina di Chiappo Fausto;Gasolio;2.154;Servito;09/06/2022 11:30:26;08
21028;Esso;46.1600694;13.2107919;;;Sostero fratelli S.N.C. di Sostero Marco & Massimo;Gasolio;1.939;Servito;08/06/2022 18:14:22;08
21028;Esso;46.1600694;13.2107919;;;Sostero fratelli S.N.C. di Sostero Marco & Massimo;Gasolio;1.939;SelfService;08/06/2022 18:14:22;08
21045;IP;46.0938289;12.5957715;;;Ule' De Riva di Mellina-Gottardo Sara;Gasolio;1.954;Servito;07/06/2022 07:46:02;08
21045;IP;46.0938289;12.5957715;;;Ule' De Riva di Mellina-Gottardo Sara;Gasolio;1.954;SelfService;07/06/2022 07:46:02;08
21064;Agip;45.9091920;12.5430560;;;Hoxha Bledar;Gasolio;1.879;SelfService;06/06/2022 19:05:06;07
21254;Esso;45.4770210;12.2067504;;;S.R. Esso di Girotto e Soppelsa S.N.C.;Gasolio;1.949;SelfService;08/06/2022 08:59:15;08
